"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22648","TC_LoginFailWithIncorrectPassword","Regression Tests CMS","2026-02-25","passed","2026-02-25","com.anhtester.projects.cms.testcases.LoginTest","Login Test CMS","com.anhtester.projects.cms.testcases.LoginTest","TC_LoginFailWithIncorrectPassword"
"","22570","TC_LoginFailWithEmailDoesNotExist","Regression Tests CMS","2026-02-25","passed","2026-02-25","com.anhtester.projects.cms.testcases.LoginTest","Login Test CMS","com.anhtester.projects.cms.testcases.LoginTest","TC_LoginFailWithEmailDoesNotExist"
"","20483","TC_LoginFailWithEmailNull","Regression Tests CMS","2026-02-25","passed","2026-02-25","com.anhtester.projects.cms.testcases.LoginTest","Login Test CMS","com.anhtester.projects.cms.testcases.LoginTest","TC_LoginFailWithEmailNull"
"","21864","TC_LoginFailWithNullPassword","Regression Tests CMS","2026-02-25","passed","2026-02-25","com.anhtester.projects.cms.testcases.LoginTest","Login Test CMS","com.anhtester.projects.cms.testcases.LoginTest","TC_LoginFailWithNullPassword"
"","23717","TC_LoginSuccessWithCustomerAccount","Regression Tests CMS","2026-02-25","passed","2026-02-25","com.anhtester.projects.cms.testcases.LoginTest","Login Test CMS","com.anhtester.projects.cms.testcases.LoginTest","TC_LoginSuccessWithCustomerAccount"
